,loss,mse,val_loss,val_mse,lr
0,0.6885454058647156,0.6885454058647156,4.720396518707275,4.720396518707275,9.999999747378752e-06
1,0.6017948389053345,0.6017948389053345,3.5839123725891113,3.5839123725891113,9.999999747378752e-06
2,0.5910672545433044,0.5910672545433044,2.3755249977111816,2.3755249977111816,9.999999747378752e-06
3,0.5351442694664001,0.5351442694664001,1.135390281677246,1.135390281677246,9.999999747378752e-06
4,0.5387120246887207,0.5387120246887207,0.501145601272583,0.501145601272583,9.999999747378752e-06
5,0.4754186272621155,0.4754186272621155,0.3571983277797699,0.3571983277797699,9.999999747378752e-06
6,0.4742877185344696,0.4742877185344696,0.37967026233673096,0.37967026233673096,9.999999747378752e-06
7,0.4647609293460846,0.4647609293460846,0.48375755548477173,0.48375755548477173,9.999999747378752e-06
8,0.42401447892189026,0.42401447892189026,0.5133788585662842,0.5133788585662842,9.999999747378752e-06
9,0.42177191376686096,0.42177191376686096,0.3567294478416443,0.3567294478416443,9.999999747378752e-06
10,0.4152628183364868,0.4152628183364868,0.28751906752586365,0.28751906752586365,9.999999747378752e-06
11,0.3943711519241333,0.3943711519241333,0.24444249272346497,0.24444249272346497,9.999999747378752e-06
12,0.40418946743011475,0.40418946743011475,0.2521679401397705,0.2521679401397705,9.999999747378752e-06
13,0.4045347273349762,0.4045347273349762,0.2179327756166458,0.2179327756166458,9.999999747378752e-06
14,0.38631144165992737,0.38631144165992737,0.20609202980995178,0.20609202980995178,9.999999747378752e-06
15,0.35977113246917725,0.35977113246917725,0.22276818752288818,0.22276818752288818,9.999999747378752e-06
16,0.35170406103134155,0.35170406103134155,0.1928676813840866,0.1928676813840866,9.999999747378752e-06
17,0.3469722867012024,0.3469722867012024,0.30509477853775024,0.30509477853775024,9.999999747378752e-06
18,0.35861626267433167,0.35861626267433167,0.17221304774284363,0.17221304774284363,9.999999747378752e-06
19,0.32620349526405334,0.32620349526405334,0.2198374718427658,0.2198374718427658,9.999999747378752e-06
20,0.32543155550956726,0.32543155550956726,0.19380752742290497,0.19380752742290497,9.999999747378752e-06
21,0.30399060249328613,0.30399060249328613,0.2448609173297882,0.2448609173297882,9.999999747378752e-06
22,0.33674922585487366,0.33674922585487366,0.31291744112968445,0.31291744112968445,9.999999747378752e-06
23,0.3186500668525696,0.3186500668525696,0.32966047525405884,0.32966047525405884,9.999999747378752e-06
24,0.31407544016838074,0.31407544016838074,0.24980387091636658,0.24980387091636658,9.999999747378752e-06
25,0.31516528129577637,0.31516528129577637,0.28071051836013794,0.28071051836013794,9.999999747378752e-06
26,0.3244399130344391,0.3244399130344391,0.20094160735607147,0.20094160735607147,9.999999747378752e-06
27,0.30557823181152344,0.30557823181152344,0.31513357162475586,0.31513357162475586,9.999999747378752e-06
28,0.29595839977264404,0.29595839977264404,0.2186429798603058,0.2186429798603058,9.999999747378752e-06
29,0.30941250920295715,0.30941250920295715,0.2253963053226471,0.2253963053226471,9.999999747378752e-06
30,0.3008783459663391,0.3008783459663391,0.21201404929161072,0.21201404929161072,9.999999747378752e-06
31,0.29903876781463623,0.29903876781463623,0.3249174654483795,0.3249174654483795,9.999999747378752e-06
32,0.2936141788959503,0.2936141788959503,0.30797848105430603,0.30797848105430603,9.999999747378752e-06
33,0.3042817711830139,0.3042817711830139,0.3209407925605774,0.3209407925605774,9.999999747378752e-06
34,0.2824443280696869,0.2824443280696869,0.3602679669857025,0.3602679669857025,9.999999747378752e-06
35,0.28112301230430603,0.28112301230430603,0.3820231556892395,0.3820231556892395,9.999999747378752e-06
36,0.28151100873947144,0.28151100873947144,0.25743332505226135,0.25743332505226135,9.999999747378752e-06
37,0.2753196358680725,0.2753196358680725,0.18663544952869415,0.18663544952869415,9.999999747378752e-06
38,0.28751152753829956,0.28751152753829956,0.1707935333251953,0.1707935333251953,9.999999747378752e-06
39,0.27318626642227173,0.27318626642227173,0.19479820132255554,0.19479820132255554,9.999999747378752e-06
40,0.3062498867511749,0.3062498867511749,0.1913040429353714,0.1913040429353714,9.999999747378752e-06
